"Sequence week","B.1.526 +E484K count","B.1.526 +E484K  percent","B.1.526 no E484K count","B.1.526 no E484K percent","B.1.1.7 count","B.1.1.7 percent","P.1 count","P.1 percent","B.1.427 count","B.1.427 percent","B.1.429 count","B.1.429 percent","B.1.351 count","B.1.351 percent","B.1.617.2 count","B.1.617.2 percent","B.1.621 count","B.1.621 percent","Other count","Other percent","incomplete","cases","percent sequenced","incomplete sequencing"
"Jan 02 (532)",3,0.56391,31,5.827068,4,0.75188,0,0.0,1,0.18797,6,1.12782,0,0.0,0,0.0,0,0.0,487,91.541353,,27366,2,
"Jan 09 (872)",8,0.917431,50,5.733945,8,0.917431,0,0.0,5,0.573394,12,1.376147,0,0.0,0,0.0,0,0.0,789,90.481651,,36273,2,
"Jan 16 (413)",9,2.179177,44,10.653753,13,3.1477,0,0.0,5,1.210654,12,2.905569,0,0.0,0,0.0,0,0.0,330,79.903148,,33076,1,
"Jan 23 (481)",13,2.702703,55,11.434511,8,1.663202,0,0.0,1,0.2079,6,1.247401,0,0.0,0,0.0,0,0.0,398,82.744283,,30523,2,
"Jan 30 (775)",61,7.870968,121,15.612903,23,2.967742,0,0.0,11,1.419355,14,1.806452,1,0.129032,0,0.0,0,0.0,544,70.193548,,29183,3,
"Feb 06 (1005)",82,8.159204,204,20.298507,77,7.661692,0,0.0,7,0.696517,17,1.691542,0,0.0,0,0.0,0,0.0,618,61.492537,,23760,4,
"Feb 13 (1066)",60,5.628518,295,27.673546,96,9.005629,0,0.0,12,1.125704,20,1.876173,0,0.0,0,0.0,0,0.0,583,54.690432,,22510,5,
"Feb 20 (1162)",164,14.113597,239,20.567986,91,7.831325,0,0.0,15,1.290878,15,1.290878,2,0.172117,0,0.0,0,0.0,636,54.733219,,19468,6,
"Feb 27 (1113)",203,18.238994,251,22.551662,138,12.398922,0,0.0,5,0.449236,21,1.886792,0,0.0,0,0.0,0,0.0,495,44.474394,,21562,5,
"Mar 06 (1021)",194,19.000979,310,30.36239,151,14.789422,0,0.0,9,0.881489,16,1.567091,0,0.0,0,0.0,0,0.0,341,33.398629,,20158,5,
"Mar 13 (1777)",278,15.644344,298,16.769837,191,10.748452,4,0.225098,4,0.225098,24,1.350591,0,0.0,0,0.0,0,0.0,978,55.036579,,20303,9,
"Mar 20 (1170)",272,23.247863,213,18.205128,292,24.957265,2,0.17094,11,0.940171,18,1.538462,2,0.17094,1,0.08547,0,0.0,359,30.683761,,19799,6,
"Mar 27 (1967)",455,23.131673,409,20.793086,571,29.028978,17,0.86426,4,0.203355,18,0.915099,6,0.305033,3,0.152517,1,0.050839,483,24.55516,,22106,9,
"Apr 03 (1740)",384,22.068966,357,20.517241,610,35.057471,20,1.149425,11,0.632184,7,0.402299,3,0.172414,0,0.0,1,0.057471,347,19.942529,,19206,9,
"Apr 10 (2191)",503,22.957554,356,16.248288,762,34.77864,52,2.373346,8,0.36513,8,0.36513,3,0.136924,1,0.045641,3,0.136924,495,22.592424,,17263,13,
"Apr 17 (1877)",444,23.654768,293,15.610016,655,34.896111,51,2.717102,6,0.319659,16,0.852424,7,0.372936,2,0.106553,9,0.479489,394,20.990943,,13579,14,
"Apr 24 (1245)",267,21.445783,171,13.73494,467,37.51004,40,3.212851,9,0.722892,4,0.321285,3,0.240964,3,0.240964,12,0.963855,269,21.606426,,9454,13,
"May 01 (1007)",168,16.683217,131,13.008937,393,39.026812,49,4.865938,3,0.297915,2,0.19861,2,0.19861,19,1.886792,6,0.595829,234,23.237339,,7045,14,
"May 08 (638)",77,12.068966,58,9.090909,279,43.730408,37,5.799373,1,0.15674,0,0.0,3,0.470219,25,3.918495,4,0.626959,154,24.137931,,4968,13,
"May 15 (492)",61,12.398374,59,11.99187,189,38.414634,25,5.081301,3,0.609756,2,0.406504,0,0.0,14,2.845528,20,4.065041,119,24.186992,,3491,14,
"May 22 (366)",35,9.562842,38,10.382514,123,33.606557,24,6.557377,1,0.273224,1,0.273224,1,0.273224,26,7.103825,16,4.371585,101,27.595628,,2506,15,
"May 29 (220)",15,6.818182,13,5.909091,73,33.181818,20,9.090909,0,0.0,0,0.0,1,0.454545,16,7.272727,14,6.363636,68,30.909091,,1686,13,
"Jun 05 (179)",6,3.351955,4,2.234637,51,28.49162,21,11.731844,0,0.0,0,0.0,0,0.0,14,7.821229,27,15.083799,56,31.284916,,1340,13,
"Jun 12 (187)",6,3.208556,2,1.069519,30,16.042781,13,6.951872,0,0.0,0,0.0,0,0.0,51,27.272727,34,18.181818,51,27.272727,,1202,16,
"Jun 19 (137)",1,0.729927,1,0.729927,22,16.058394,11,8.029197,0,0.0,0,0.0,0,0.0,49,35.766423,16,11.678832,37,27.007299,,1101,12,
"Jun 26 (183)",1,0.546448,1,0.546448,32,17.486339,14,7.650273,0,0.0,0,0.0,0,0.0,69,37.704918,27,14.754098,39,21.311475,,1097,17,
"Jul 03 (162)",0,0.0,1,0.617284,20,12.345679,9,5.555556,0,0.0,0,0.0,0,0.0,95,58.641975,14,8.641975,23,14.197531,,1328,12,
"Jul 10 (318)",2,0.628931,3,0.943396,16,5.031447,16,5.031447,0,0.0,0,0.0,0,0.0,230,72.327044,27,8.490566,24,7.54717,,2035,16,
"Jul 17 (429)",0,0.0,1,0.2331,15,3.496503,20,4.662005,0,0.0,0,0.0,1,0.2331,360,83.916084,17,3.962704,15,3.496503,,3179,13,
"Jul 24 (681)",3,0.440529,1,0.146843,6,0.881057,7,1.0279,0,0.0,0,0.0,1,0.146843,636,93.39207,15,2.202643,12,1.762115,,5199,13,
"Jul 31 (1076)",0,0.0,0,0.0,8,0.743494,6,0.557621,0,0.0,0,0.0,1,0.092937,1041,96.747212,10,0.929368,10,0.929368,,7670,14,
"Aug 07 (1424)",0,0.0,1,0.070225,5,0.351124,6,0.421348,0,0.0,0,0.0,0,0.0,1391,97.682584,8,0.561798,13,0.912921,,9766,15,
"Aug 14 (1701)",0,0.0,0,0.0,4,0.235156,3,0.176367,0,0.0,0,0.0,0,0.0,1670,98.177543,6,0.352734,18,1.058201,,10682,16,
"Aug 21 (1755)",0,0.0,0,0.0,2,0.11396,2,0.11396,0,0.0,0,0.0,0,0.0,1721,98.062678,6,0.34188,24,1.367521,,10837,16,
"Aug 28 (1510)",0,0.0,0,0.0,1,0.066225,3,0.198675,0,0.0,0,0.0,0,0.0,1485,98.344371,8,0.529801,13,0.860927,,10193,15,
"Sep 04 (1043)",0,0.0,0,0.0,1,0.095877,2,0.191755,0,0.0,0,0.0,0,0.0,1034,99.137105,3,0.287632,3,0.287632,1770,9639,11,2240
"Sep 11 (746)",0,0.0,0,0.0,1,0.134048,0,0.0,0,0.0,0,0.0,0,0.0,741,99.329759,4,0.536193,0,0.0,1770,9179,8,2240
